ID,NAME,EMAIL_ID,RATE,DEPARTMENT_ID
d7c4ec94-c98b-4d85-8084-f797cbf82719,Oliy Wickie,owickie0@yahoo.co.jp,9.154686,1e7571c2-4a33-4c7a-8fce-7eece47cedee
88922d77-c607-4ba9-95fe-8f4504242af0,Stanwood Meaton,smeaton1@merriam-webster.com,6.217567,1e7571c2-4a33-4c7a-8fce-7eece47cedee
cafe6bc5-a59d-468b-95d5-27e4b6856305,Nadeen Niset,nniset2@mayoclinic.com,7.732176,1e7571c2-4a33-4c7a-8fce-7eece47cedee
54627ee7-3932-4f10-ac37-a695097d8399,Kalvin Dudeney,kdudeney3@admin.ch,8.4219786,1e7571c2-4a33-4c7a-8fce-7eece47cedee
7dc76882-9969-4619-ba11-52856245a1d8,Roma Pocklington,rpocklington4@google.es,5.386451,e1152b75-20f0-4866-ab36-c93c9d6f59ea
6734ca7a-2e7d-44cb-a85c-c21a523619b2,Justis Patry,jpatry5@shop-pro.jp,4.8673421,e1152b75-20f0-4866-ab36-c93c9d6f59ea
514aada0-233c-4b95-9775-32bcb79b39f5,Saunderson Jamot,sjamot6@deliciousdays.com,3.7512543,e1152b75-20f0-4866-ab36-c93c9d6f59ea
63db2d88-1922-4331-ae5c-b93cf5a6807d,Gert Erdely,gerdely7@devhub.com,2.7693421,e1152b75-20f0-4866-ab36-c93c9d6f59ea
3aae92e8-8d19-458f-b7e9-6072b9571621,Tuckie Brason,tbrason8@miitbeian.gov.cn,1.7345213,cf9865c0-983c-4420-b6e8-98adaa31e8fb
d2bca9a8-04e0-4093-9f27-bf9eed5b95ba,Currey Fockes,cfockes9@studiopress.com,0.75642134,cf9865c0-983c-4420-b6e8-98adaa31e8fb
bf1bc623-0b43-4900-90b9-1e708549f2b4,Shane Snoddin,ssnoddina@friendfeed.com,6.3218976,cf9865c0-983c-4420-b6e8-98adaa31e8fb
656e8c45-1127-414c-8bbb-5c6803c15607,Ronalda Parr,rparrb@photobucket.com,5.4327831,cf9865c0-983c-4420-b6e8-98adaa31e8fb
